author,post date,post time,text,Non-Independent Usage Rate,POS Bigrams,Particle Bigrams,Punctuation Preceding Tokens,Dependency Path Patterns,Unique Dependencies,Max Dependency Depth,Avg Dependency Depth,Forward Dependencies,Backward Dependencies,sentence_length,subj_verb_order_ratio,obj_verb_order_ratio,adj_noun_order_ratio
安倍晋三,2022/07/07,20:11:00,自民党公認のみで戦い抜く小野田紀美候補。,0.2,"Counter({'PROPN_NOUN': 2, 'NOUN_ADP': 1, 'ADP_ADP': 1, 'ADP_VERB': 1, 'VERB_VERB': 1, 'VERB_PROPN': 1, 'PROPN_PROPN': 1, 'NOUN_PUNCT': 1})",Counter({'のみ_で': 1}),Counter({'候補': 1}),"Counter({'compound (公認 -> 自民党)': 1, 'obl (戦い -> 公認)': 1, 'case (公認 -> のみ)': 1, 'case (公認 -> で)': 1, 'acl (候補 -> 戦い)': 1, 'advcl (戦い -> 抜く)': 1, 'compound (候補 -> 小野田)': 1, 'compound (候補 -> 紀美)': 1, 'ROOT (候補 -> 候補)': 1, 'punct (候補 -> 。)': 1})",7,3,1.7,5,4,10,0,0,0
安倍晋三,2022/07/07,20:11:00,厳しい闘い、彼女の鋼の信念に会場は燃えました。,0.4,"Counter({'ADP_NOUN': 3, 'NOUN_ADP': 3, 'ADJ_NOUN': 1, 'NOUN_PUNCT': 1, 'PUNCT_PRON': 1, 'PRON_ADP': 1, 'ADP_VERB': 1, 'VERB_AUX': 1, 'AUX_AUX': 1, 'AUX_PUNCT': 1})",Counter(),"Counter({'闘い': 1, 'た': 1})","Counter({'acl (闘い -> 厳しい)': 1, 'nmod (信念 -> 闘い)': 1, 'punct (闘い -> 、)': 1, 'nmod (信念 -> 彼女)': 1, 'case (彼女 -> の)': 1, 'nmod (信念 -> 鋼)': 1, 'case (鋼 -> の)': 1, 'obl (燃え -> 信念)': 1, 'case (信念 -> に)': 1, 'nsubj (燃え -> 会場)': 1, 'case (会場 -> は)': 1, 'ROOT (燃え -> 燃え)': 1, 'aux (燃え -> まし)': 1, 'aux (燃え -> た)': 1, 'punct (燃え -> 。)': 1})",8,3,1.8,6,7,15,0.066666667,0,0.066666667
安倍晋三,2022/07/07,20:11:00,日本を守り抜く小野田紀美候補に力を❗️,0.272727273,"Counter({'NOUN_ADP': 2, 'PROPN_ADP': 1, 'ADP_VERB': 1, 'VERB_VERB': 1, 'VERB_PROPN': 1, 'PROPN_PROPN': 1, 'PROPN_NOUN': 1, 'ADP_NOUN': 1, 'ADP_SYM': 1})",Counter(),Counter(),"Counter({'obj (守り -> 日本)': 1, 'case (日本 -> を)': 1, 'acl (候補 -> 守り)': 1, 'advcl (守り -> 抜く)': 1, 'compound (候補 -> 小野田)': 1, 'compound (候補 -> 紀美)': 1, 'obl (力 -> 候補)': 1, 'case (候補 -> に)': 1, 'ROOT (力 -> 力)': 1, 'case (力 -> を)': 1, 'dep (力 -> ❗️)': 1})",8,4,1.909090909,5,6,11,0,0.090909091,0
安倍晋三,2022/07/07,20:11:00,宜しくお願いします。,0.333333333,"Counter({'ADV_NOUN': 1, 'NOUN_VERB': 1, 'VERB_AUX': 1, 'AUX_AUX': 1, 'AUX_PUNCT': 1})",Counter(),Counter({'ます': 1}),"Counter({'advmod (願い -> 宜しく)': 1, 'compound (願い -> お)': 1, 'ROOT (願い -> 願い)': 1, 'aux (願い -> し)': 1, 'aux (願い -> ます)': 1, 'punct (願い -> 。)': 1})",5,1,0.833333333,2,3,6,0,0,0
安倍晋三,2022/07/07,17:32:00,混戦模様の兵庫県選挙区。,0.166666667,"Counter({'NOUN_NOUN': 1, 'NOUN_ADP': 1, 'ADP_PROPN': 1, 'PROPN_NOUN': 1, 'NOUN_PUNCT': 1})",Counter(),Counter({'選挙区': 1}),"Counter({'compound (模様 -> 混戦)': 1, 'nmod (選挙区 -> 模様)': 1, 'case (模様 -> の)': 1, 'compound (選挙区 -> 兵庫県)': 1, 'ROOT (選挙区 -> 選挙区)': 1, 'punct (選挙区 -> 。)': 1})",5,2,1.166666667,3,2,6,0,0,0
安倍晋三,2022/07/07,17:32:00,末松信介候補の応援に神戸に来ました。,0.416666667,"Counter({'NOUN_ADP': 2, 'PROPN_PROPN': 1, 'PROPN_NOUN': 1, 'ADP_NOUN': 1, 'ADP_PROPN': 1, 'PROPN_ADP': 1, 'ADP_VERB': 1, 'VERB_AUX': 1, 'AUX_AUX': 1, 'AUX_PUNCT': 1})",Counter(),Counter({'た': 1}),"Counter({'compound (候補 -> 末松)': 1, 'compound (候補 -> 信介)': 1, 'nmod (応援 -> 候補)': 1, 'case (候補 -> の)': 1, 'obl (来 -> 応援)': 1, 'case (応援 -> に)': 1, 'obl (来 -> 神戸)': 1, 'case (神戸 -> に)': 1, 'ROOT (来 -> 来)': 1, 'aux (来 -> まし)': 1, 'aux (来 -> た)': 1, 'punct (来 -> 。)': 1})",7,3,1.666666667,5,6,12,0,0,0
安倍晋三,2022/07/07,17:32:00,アジアのハイテク医療産業の集積地を目指す神戸にとっても大切な末松候補。,0.35,"Counter({'NOUN_NOUN': 3, 'PROPN_ADP': 2, 'ADP_NOUN': 2, 'NOUN_ADP': 2, 'ADP_VERB': 2, 'VERB_PROPN': 1, 'VERB_SCONJ': 1, 'SCONJ_ADP': 1, 'ADP_ADJ': 1, 'ADJ_AUX': 1, 'AUX_PROPN': 1, 'PROPN_NOUN': 1, 'NOUN_PUNCT': 1})",Counter(),Counter({'候補': 1}),"Counter({'nmod (産業 -> アジア)': 1, 'case (アジア -> の)': 1, 'compound (産業 -> ハイテク)': 1, 'compound (産業 -> 医療)': 1, 'nmod (地 -> 産業)': 1, 'case (産業 -> の)': 1, 'compound (地 -> 集積)': 1, 'obj (目指す -> 地)': 1, 'case (地 -> を)': 1, 'acl (神戸 -> 目指す)': 1, 'obl (大切 -> 神戸)': 1, 'case (神戸 -> に)': 1, 'fixed (に -> とっ)': 1, 'fixed (に -> て)': 1, 'case (神戸 -> も)': 1, 'acl (候補 -> 大切)': 1, 'aux (大切 -> な)': 1, 'compound (候補 -> 末松)': 1, 'ROOT (候補 -> 候補)': 1, 'punct (候補 -> 。)': 1})",10,7,3.7,10,9,20,0,0.05,0.05
安倍晋三,2022/07/07,17:32:00,より一層のご支援を宜しくお願いします。,0.333333333,"Counter({'ADV_ADV': 1, 'ADV_ADP': 1, 'ADP_NOUN': 1, 'NOUN_NOUN': 1, 'NOUN_ADP': 1, 'ADP_ADV': 1, 'ADV_NOUN': 1, 'NOUN_VERB': 1, 'VERB_AUX': 1, 'AUX_AUX': 1, 'AUX_PUNCT': 1})",Counter(),Counter({'ます': 1}),"Counter({'advmod (一層 -> より)': 1, 'advmod (支援 -> 一層)': 1, 'case (一層 -> の)': 1, 'compound (支援 -> ご)': 1, 'obj (願い -> 支援)': 1, 'case (支援 -> を)': 1, 'advmod (願い -> 宜しく)': 1, 'compound (願い -> お)': 1, 'ROOT (願い -> 願い)': 1, 'aux (願い -> し)': 1, 'aux (願い -> ます)': 1, 'punct (願い -> 。)': 1})",7,3,1.5,6,5,12,0,0.083333333,0
安倍晋三,2022/07/07,16:54:00,不妊治療の保険適用を菅総理と共に実現した三原じゅん子候補。,0.333333333,"Counter({'NOUN_ADP': 4, 'NOUN_NOUN': 2, 'ADP_NOUN': 2, 'PROPN_NOUN': 2, 'ADP_PROPN': 1, 'ADP_VERB': 1, 'VERB_AUX': 1, 'AUX_AUX': 1, 'AUX_PROPN': 1, 'PROPN_PROPN': 1, 'NOUN_PUNCT': 1})",Counter(),Counter({'候補': 1}),"Counter({'compound (治療 -> 不妊)': 1, 'nmod (適用 -> 治療)': 1, 'case (治療 -> の)': 1, 'compound (適用 -> 保険)': 1, 'obj (実現 -> 適用)': 1, 'case (適用 -> を)': 1, 'compound (総理 -> 菅)': 1, 'nmod (共 -> 総理)': 1, 'case (総理 -> と)': 1, 'obl (実現 -> 共)': 1, 'case (共 -> に)': 1, 'acl (候補 -> 実現)': 1, 'aux (実現 -> し)': 1, 'aux (実現 -> た)': 1, 'compound (候補 -> 三原)': 1, 'compound (候補 -> じゅん子)': 1, 'ROOT (候補 -> 候補)': 1, 'punct (候補 -> 。)': 1})",9,4,2.388888889,10,7,18,0,0.055555556,0
安倍晋三,2022/07/07,16:54:00,「恥を知りなさい」の名セリフは野党にとっては悪夢でしょう。,0.411764706,"Counter({'NOUN_ADP': 3, 'ADP_NOUN': 3, 'ADP_VERB': 2, 'PUNCT_NOUN': 1, 'VERB_VERB': 1, 'VERB_PUNCT': 1, 'PUNCT_ADP': 1, 'VERB_SCONJ': 1, 'SCONJ_ADP': 1, 'NOUN_AUX': 1, 'AUX_PUNCT': 1})",Counter(),Counter({'です': 1}),"Counter({'punct (恥 -> 「)': 1, 'obj (なさい -> 恥)': 1, 'case (恥 -> を)': 1, 'compound (なさい -> 知り)': 1, 'nmod (名セリフ -> なさい)': 1, 'punct (なさい -> 」)': 1, 'case (なさい -> の)': 1, 'nsubj (悪夢 -> 名セリフ)': 1, 'case (名セリフ -> は)': 1, 'obl (悪夢 -> 野党)': 1, 'case (野党 -> に)': 1, 'fixed (に -> とっ)': 1, 'fixed (に -> て)': 1, 'case (野党 -> は)': 1, 'ROOT (悪夢 -> 悪夢)': 1, 'cop (悪夢 -> でしょう)': 1, 'punct (悪夢 -> 。)': 1})",10,4,2.235294118,5,9,17,0,0.058823529,0
安倍晋三,2022/07/07,16:54:00,三原じゅん子候補に力を❗️,0.285714286,"Counter({'NOUN_ADP': 2, 'PROPN_PROPN': 1, 'PROPN_NOUN': 1, 'ADP_NOUN': 1, 'ADP_SYM': 1})",Counter(),Counter(),"Counter({'compound (候補 -> 三原)': 1, 'compound (候補 -> じゅん子)': 1, 'obl (力 -> 候補)': 1, 'case (候補 -> に)': 1, 'ROOT (力 -> 力)': 1, 'case (力 -> を)': 1, 'dep (力 -> ❗️)': 1})",5,2,1.285714286,3,4,7,0,0,0
安倍晋三,2022/07/07,16:54:00,宜しくお願いします。,0.333333333,"Counter({'ADV_NOUN': 1, 'NOUN_VERB': 1, 'VERB_AUX': 1, 'AUX_AUX': 1, 'AUX_PUNCT': 1})",Counter(),Counter({'ます': 1}),"Counter({'advmod (願い -> 宜しく)': 1, 'compound (願い -> お)': 1, 'ROOT (願い -> 願い)': 1, 'aux (願い -> し)': 1, 'aux (願い -> ます)': 1, 'punct (願い -> 。)': 1})",5,1,0.833333333,2,3,6,0,0,0
